Club;Year;Mode;P;V;E;D;GF;GS
Athlético-PR;2003;LG;61;17;10;19;66;72
Athlético-PR;2003;HM;46;14;4;5;44;28
Athlético-PR;2003;AW;15;3;6;14;22;44
Athlético-PR;2003;OP;26;7;5;11;29;33
Athlético-PR;2003;ED;35;10;5;8;37;39
Atlético-MG;2003;LG;72;19;15;12;76;62
Atlético-MG;2003;HM;44;13;5;5;40;27
Atlético-MG;2003;AW;28;6;10;7;36;35
Atlético-MG;2003;OP;38;10;8;5;40;31
Atlético-MG;2003;ED;34;9;7;7;36;31
Bahia;2003;LG;46;12;10;24;59;92
Bahia;2003;HM;39;11;6;6;40;38
Bahia;2003;AW;7;1;4;18;19;54
Bahia;2003;OP;25;6;7;10;27;36
Bahia;2003;ED;21;6;3;14;32;56
Corinthians;2003;LG;57;15;12;19;61;63
Corinthians;2003;HM;37;11;4;8;36;21
Corinthians;2003;AW;20;4;8;11;25;42
Corinthians;2003;OP;33;8;9;6;37;27
Corinthians;2003;ED;24;7;3;13;24;36
Coritiba;2003;LG;73;21;10;15;67;58
Coritiba;2003;HM;47;14;5;4;37;22
Coritiba;2003;AW;26;7;5;11;30;36
Coritiba;2003;OP;39;11;6;6;36;28
Coritiba;2003;ED;34;10;4;9;31;30
Criciúma;2003;LG;60;17;9;20;57;68
Criciúma;2003;HM;45;14;3;6;36;24
Criciúma;2003;AW;15;3;6;14;21;44
Criciúma;2003;OP;37;11;4;8;33;30
Criciúma;2003;ED;23;6;5;12;24;38
Cruzeiro;2003;LG;100;31;7;8;102;47
Cruzeiro;2003;HM;56;17;5;1;61;21
Cruzeiro;2003;AW;44;14;2;7;41;26
Cruzeiro;2003;OP;47;14;5;4;52;29
Cruzeiro;2003;ED;53;17;2;4;50;18
Figueirense;2003;LG;65;17;14;15;62;54
Figueirense;2003;HM;41;11;8;4;41;24
Figueirense;2003;AW;24;6;6;11;21;30
Figueirense;2003;OP;28;7;7;9;25;30
Figueirense;2003;ED;37;10;7;6;37;24
Flamengo;2003;LG;66;18;12;16;66;73
Flamengo;2003;HM;47;14;5;4;38;23
Flamengo;2003;AW;19;4;7;12;28;50
Flamengo;2003;OP;29;7;8;8;32;38
Flamengo;2003;ED;37;11;4;8;34;35
Fluminense;2003;LG;50;13;11;22;52;77
Fluminense;2003;HM;40;11;7;5;36;26
Fluminense;2003;AW;10;2;4;17;16;51
Fluminense;2003;OP;23;6;5;12;27;41
Fluminense;2003;ED;27;7;6;10;25;36
Fortaleza;2003;LG;49;12;13;21;58;74
Fortaleza;2003;HM;36;10;6;7;39;28
Fortaleza;2003;AW;13;2;7;14;19;46
Fortaleza;2003;OP;23;6;5;12;28;38
Fortaleza;2003;ED;26;6;8;9;30;36
Goiás;2003;LG;65;18;11;17;78;63
Goiás;2003;HM;43;12;7;4;47;22
Goiás;2003;AW;22;6;4;13;31;41
Goiás;2003;OP;21;4;9;10;34;39
Goiás;2003;ED;44;14;2;7;44;24
Grêmio;2003;LG;50;13;11;22;54;68
Grêmio;2003;HM;36;10;6;7;33;26
Grêmio;2003;AW;14;3;5;15;21;42
Grêmio;2003;OP;22;6;4;13;24;33
Grêmio;2003;ED;28;7;7;9;30;35
Guarani;2003;LG;61;17;10;19;64;72
Guarani;2003;HM;48;15;3;5;44;25
Guarani;2003;AW;13;2;7;14;20;47
Guarani;2003;OP;31;9;4;10;36;37
Guarani;2003;ED;30;8;6;9;28;35
Internacional;2003;LG;70;20;10;16;59;57
Internacional;2003;HM;46;13;7;3;32;16
Internacional;2003;AW;24;7;3;13;27;41
Internacional;2003;OP;36;10;6;7;32;28
Internacional;2003;ED;34;10;4;9;27;29
Juventude;2003;LG;50;12;14;20;55;70
Juventude;2003;HM;37;9;10;4;36;23
Juventude;2003;AW;13;3;4;16;19;47
Juventude;2003;OP;22;5;7;11;24;40
Juventude;2003;ED;28;7;7;9;31;30
Paraná;2003;LG;65;18;11;17;85;75
Paraná;2003;HM;45;13;6;4;55;30
Paraná;2003;AW;20;5;5;13;30;45
Paraná;2003;OP;35;10;5;8;45;37
Paraná;2003;ED;30;8;6;9;40;38
Paysandu;2003;LG;57;15;12;19;74;77
Paysandu;2003;HM;46;13;7;3;53;26
Paysandu;2003;AW;11;2;5;16;21;51
Paysandu;2003;OP;30;8;6;9;42;41
Paysandu;2003;ED;27;7;6;10;32;36
Ponte Preta;2003;LG;51;11;18;17;63;73
Ponte Preta;2003;HM;31;7;10;6;37;35
Ponte Preta;2003;AW;20;4;8;11;26;38
Ponte Preta;2003;OP;33;8;9;6;34;32
Ponte Preta;2003;ED;18;3;9;11;29;41
Santos;2003;LG;87;25;12;9;93;60
Santos;2003;HM;51;15;6;2;55;29
Santos;2003;AW;36;10;6;7;38;31
Santos;2003;OP;44;13;5;5;43;25
Santos;2003;ED;43;12;7;4;50;35
São Caetano;2003;LG;71;19;14;13;53;37
São Caetano;2003;HM;50;15;5;3;38;14
São Caetano;2003;AW;21;4;9;10;15;23
São Caetano;2003;OP;32;7;11;5;22;21
São Caetano;2003;ED;39;12;3;8;31;16
São Paulo;2003;LG;78;22;12;12;81;67
São Paulo;2003;HM;44;13;5;5;42;28
São Paulo;2003;AW;34;9;7;7;39;39
São Paulo;2003;OP;42;12;6;5;42;32
São Paulo;2003;ED;36;10;6;7;39;35
Vasco;2003;LG;54;13;15;18;57;69
Vasco;2003;HM;40;11;7;5;32;26
Vasco;2003;AW;14;2;8;13;25;43
Vasco;2003;OP;28;7;7;9;30;36
Vasco;2003;ED;26;6;8;9;27;33
Vitória;2003;LG;56;15;11;20;50;64
Vitória;2003;HM;38;11;5;7;30;28
Vitória;2003;AW;18;4;6;13;20;36
Vitória;2003;OP;27;7;6;10;25;37
Vitória;2003;ED;29;8;5;10;25;27
Athlético-PR;2004;LG;86;25;11;10;93;56
Athlético-PR;2004;HM;53;16;5;2;56;18
Athlético-PR;2004;AW;33;9;6;8;37;38
Athlético-PR;2004;OP;38;11;5;7;40;26
Athlético-PR;2004;ED;48;14;6;3;53;30
Atlético-MG;2004;LG;52;12;16;17;60;66
Atlético-MG;2004;HM;36;9;9;5;42;31
Atlético-MG;2004;AW;16;3;7;12;18;35
Atlético-MG;2004;OP;27;6;9;7;32;31
Atlético-MG;2004;ED;25;6;7;10;28;35
Botafogo;2004;LG;51;11;18;17;62;71
Botafogo;2004;HM;35;8;11;4;38;30
Botafogo;2004;AW;16;3;7;13;24;41
Botafogo;2004;OP;22;4;10;9;28;35
Botafogo;2004;ED;29;7;8;8;34;36
Corinthians;2004;LG;74;20;14;12;54;54
Corinthians;2004;HM;43;12;7;4;29;23
Corinthians;2004;AW;31;8;7;8;25;31
Corinthians;2004;OP;34;9;7;7;26;33
Corinthians;2004;ED;40;11;7;5;28;21
Coritiba;2004;LG;62;15;17;14;53;48
Coritiba;2004;HM;38;11;5;7;28;18
Coritiba;2004;AW;24;4;12;7;25;30
Coritiba;2004;OP;33;8;9;6;26;24
Coritiba;2004;ED;29;7;8;8;27;24
Criciúma;2004;LG;50;13;11;22;60;77
Criciúma;2004;HM;39;11;6;6;40;29
Criciúma;2004;AW;11;2;5;16;20;48
Criciúma;2004;OP;32;9;5;9;39;36
Criciúma;2004;ED;18;4;6;13;21;41
Cruzeiro;2004;LG;56;16;8;22;69;81
Cruzeiro;2004;HM;39;12;3;8;45;38
Cruzeiro;2004;AW;17;4;5;14;24;43
Cruzeiro;2004;OP;34;10;4;9;31;31
Cruzeiro;2004;ED;22;6;4;13;38;50
Figueirense;2004;LG;63;17;12;17;57;59
Figueirense;2004;HM;46;13;7;3;31;18
Figueirense;2004;AW;17;4;5;14;26;41
Figueirense;2004;OP;34;8;10;5;27;20
Figueirense;2004;ED;29;9;2;12;30;39
Flamengo;2004;LG;54;13;15;18;51;53
Flamengo;2004;HM;37;10;7;6;33;17
Flamengo;2004;AW;17;3;8;12;18;36
Flamengo;2004;OP;20;4;8;11;18;28
Flamengo;2004;ED;34;9;7;7;33;25
Fluminense;2004;LG;67;18;13;15;65;68
Fluminense;2004;HM;43;12;7;4;34;22
Fluminense;2004;AW;24;6;6;11;31;46
Fluminense;2004;OP;31;8;7;8;30;32
Fluminense;2004;ED;36;10;6;7;35;36
Goiás;2004;LG;72;21;9;16;81;68
Goiás;2004;HM;53;16;5;2;53;20
Goiás;2004;AW;19;5;4;14;28;48
Goiás;2004;OP;36;10;6;7;42;39
Goiás;2004;ED;36;11;3;9;39;29
Grêmio;2004;LG;39;9;12;25;60;80
Grêmio;2004;HM;29;7;8;8;47;35
Grêmio;2004;AW;10;2;4;17;13;45
Grêmio;2004;OP;26;6;8;9;33;33
Grêmio;2004;ED;13;3;4;16;27;47
Guarani;2004;LG;49;11;16;19;43;55
Guarani;2004;HM;34;8;10;5;22;17
Guarani;2004;AW;15;3;6;14;21;38
Guarani;2004;OP;22;5;7;11;18;29
Guarani;2004;ED;27;6;9;8;25;26
Internacional;2004;LG;67;20;7;19;65;58
Internacional;2004;HM;49;15;4;4;43;17
Internacional;2004;AW;18;5;3;15;22;41
Internacional;2004;OP;31;9;4;10;30;29
Internacional;2004;ED;36;11;3;9;35;29
Juventude;2004;LG;70;20;10;16;60;66
Juventude;2004;HM;37;10;7;6;32;25
Juventude;2004;AW;33;10;3;10;28;41
Juventude;2004;OP;38;11;5;7;28;25
Juventude;2004;ED;32;9;5;9;32;41
Palmeiras;2004;LG;78;22;12;11;72;47
Palmeiras;2004;HM;40;12;4;6;39;28
Palmeiras;2004;AW;38;10;8;5;33;19
Palmeiras;2004;OP;39;11;6;5;36;20
Palmeiras;2004;ED;39;11;6;6;36;27
Paraná;2004;LG;54;15;9;22;52;73
Paraná;2004;HM;38;12;2;9;28;24
Paraná;2004;AW;16;3;7;13;24;49
Paraná;2004;OP;20;5;5;13;19;42
Paraná;2004;ED;34;10;4;9;33;31
Paysandu;2004;LG;56;14;14;18;56;76
Paysandu;2004;HM;43;12;7;4;42;29
Paysandu;2004;AW;13;2;7;14;14;47
Paysandu;2004;OP;22;5;7;11;26;40
Paysandu;2004;ED;34;9;7;7;30;36
Ponte Preta;2004;LG;64;19;7;20;43;73
Ponte Preta;2004;HM;37;11;4;8;27;27
Ponte Preta;2004;AW;27;8;3;12;16;46
Ponte Preta;2004;OP;41;13;2;8;25;31
Ponte Preta;2004;ED;23;6;5;12;18;42
Santos;2004;LG;89;27;8;11;103;58
Santos;2004;HM;56;18;2;3;64;23
Santos;2004;AW;33;9;6;8;39;35
Santos;2004;OP;41;13;2;8;51;36
Santos;2004;ED;48;14;6;3;52;22
São Caetano;2004;LG;77;23;8;15;65;49
São Caetano;2004;HM;48;15;3;5;37;17
São Caetano;2004;AW;29;8;5;10;28;32
São Caetano;2004;OP;33;9;6;8;24;21
São Caetano;2004;ED;44;14;2;7;41;28
São Paulo;2004;LG;82;24;10;12;78;43
São Paulo;2004;HM;56;17;5;1;53;20
São Paulo;2004;AW;26;7;5;11;25;23
São Paulo;2004;OP;41;12;5;6;32;22
São Paulo;2004;ED;41;12;5;6;46;21
Vasco;2004;LG;54;14;12;20;64;68
Vasco;2004;HM;33;9;6;8;34;28
Vasco;2004;AW;21;5;6;12;30;40
Vasco;2004;OP;27;7;6;10;35;34
Vasco;2004;ED;27;7;6;10;29;34
Vitória;2004;LG;48;13;9;24;68;87
Vitória;2004;HM;41;12;5;6;50;33
Vitória;2004;AW;7;1;4;18;18;54
Vitória;2004;OP;29;8;5;10;39;38
Vitória;2004;ED;19;5;4;14;29;49
Athlético-PR;2005;LG;61;18;7;17;76;67
Athlético-PR;2005;HM;44;13;5;3;49;26
Athlético-PR;2005;AW;17;5;2;14;27;41
Athlético-PR;2005;OP;25;7;4;10;33;34
Athlético-PR;2005;ED;36;11;3;7;43;33
Atlético-MG;2005;LG;47;13;8;21;54;59
Atlético-MG;2005;HM;22;6;4;11;26;28
Atlético-MG;2005;AW;25;7;4;10;28;31
Atlético-MG;2005;OP;16;4;4;13;28;35
Atlético-MG;2005;ED;31;9;4;8;26;24
Botafogo;2005;LG;59;17;8;17;57;56
Botafogo;2005;HM;40;12;4;5;37;23
Botafogo;2005;AW;19;5;4;12;20;33
Botafogo;2005;OP;30;9;3;9;31;32
Botafogo;2005;ED;29;8;5;8;26;24
Brasiliense;2005;LG;42;10;12;20;49;68
Brasiliense;2005;HM;25;6;7;8;26;30
Brasiliense;2005;AW;17;4;5;12;23;38
Brasiliense;2005;OP;26;6;8;7;30;32
Brasiliense;2005;ED;16;4;4;13;19;36
Corinthians;2005;LG;81;24;9;9;87;59
Corinthians;2005;HM;42;12;6;3;48;30
Corinthians;2005;AW;39;12;3;6;39;29
Corinthians;2005;OP;42;13;3;5;46;37
Corinthians;2005;ED;39;11;6;4;41;22
Coritiba;2005;LG;49;13;10;19;51;60
Coritiba;2005;HM;33;10;3;8;29;29
Coritiba;2005;AW;16;3;7;11;22;31
Coritiba;2005;OP;29;8;5;8;31;31
Coritiba;2005;ED;20;5;5;11;20;29
Cruzeiro;2005;LG;59;17;8;16;72;71
Cruzeiro;2005;HM;37;11;4;6;43;34
Cruzeiro;2005;AW;22;6;4;10;29;37
Cruzeiro;2005;OP;30;8;6;6;37;33
Cruzeiro;2005;ED;29;9;2;10;35;38
Figueirense;2005;LG;53;14;11;17;65;72
Figueirense;2005;HM;38;11;5;5;40;23
Figueirense;2005;AW;15;3;6;12;25;49
Figueirense;2005;OP;18;3;9;9;27;39
Figueirense;2005;ED;35;11;2;8;38;33
Flamengo;2005;LG;54;14;12;15;55;59
Flamengo;2005;HM;31;8;7;5;30;28
Flamengo;2005;AW;23;6;5;10;25;31
Flamengo;2005;OP;22;6;4;10;23;30
Flamengo;2005;ED;32;8;8;5;32;29
Fluminense;2005;LG;68;19;11;12;79;70
Fluminense;2005;HM;37;11;4;6;43;33
Fluminense;2005;AW;31;8;7;6;36;37
Fluminense;2005;OP;38;11;5;5;36;26
Fluminense;2005;ED;30;8;6;7;43;44
Fortaleza;2005;LG;55;16;7;19;58;64
Fortaleza;2005;HM;40;12;4;5;44;29
Fortaleza;2005;AW;15;4;3;14;14;35
Fortaleza;2005;OP;30;9;3;9;27;29
Fortaleza;2005;ED;25;7;4;10;31;35
Goiás;2005;LG;74;22;8;12;68;51
Goiás;2005;HM;45;14;3;4;45;24
Goiás;2005;AW;29;8;5;8;23;27
Goiás;2005;OP;37;11;4;6;31;23
Goiás;2005;ED;37;11;4;6;37;28
Internacional;2005;LG;78;23;9;10;72;49
Internacional;2005;HM;45;14;3;4;39;22
Internacional;2005;AW;33;9;6;6;33;27
Internacional;2005;OP;34;10;4;7;34;30
Internacional;2005;ED;44;13;5;3;38;19
Juventude;2005;LG;55;15;10;17;66;72
Juventude;2005;HM;41;12;5;4;36;23
Juventude;2005;AW;14;3;5;13;30;49
Juventude;2005;OP;27;7;6;8;34;36
Juventude;2005;ED;28;8;4;9;32;36
Palmeiras;2005;LG;70;20;10;12;81;65
Palmeiras;2005;HM;46;14;4;3;46;29
Palmeiras;2005;AW;24;6;6;9;35;36
Palmeiras;2005;OP;32;9;5;7;38;32
Palmeiras;2005;ED;38;11;5;5;43;33
Paraná;2005;LG;61;17;10;15;59;51
Paraná;2005;HM;37;11;4;6;39;25
Paraná;2005;AW;24;6;6;9;20;26
Paraná;2005;OP;37;10;7;4;31;19
Paraná;2005;ED;24;7;3;11;28;32
Paysandu;2005;LG;41;12;5;25;63;92
Paysandu;2005;HM;32;10;2;9;37;35
Paysandu;2005;AW;9;2;3;16;26;57
Paysandu;2005;OP;19;5;4;12;30;42
Paysandu;2005;ED;22;7;1;13;33;50
Ponte Preta;2005;LG;51;15;6;21;63;80
Ponte Preta;2005;HM;36;11;3;7;39;37
Ponte Preta;2005;AW;15;4;3;14;24;43
Ponte Preta;2005;OP;33;10;3;8;34;34
Ponte Preta;2005;ED;18;5;3;13;29;46
Santos;2005;LG;59;16;11;15;68;71
Santos;2005;HM;34;9;7;5;31;24
Santos;2005;AW;25;7;4;10;37;47
Santos;2005;OP;33;9;6;6;40;32
Santos;2005;ED;26;7;5;9;28;39
São Caetano;2005;LG;52;14;10;18;54;60
São Caetano;2005;HM;27;7;6;8;25;25
São Caetano;2005;AW;25;7;4;10;29;35
São Caetano;2005;OP;32;9;5;7;29;27
São Caetano;2005;ED;20;5;5;11;25;33
São Paulo;2005;LG;58;16;10;16;77;67
São Paulo;2005;HM;36;10;6;5;40;29
São Paulo;2005;AW;22;6;4;11;37;38
São Paulo;2005;OP;21;5;6;10;30;36
São Paulo;2005;ED;37;11;4;6;47;31
Vasco;2005;LG;54;14;12;16;75;86
Vasco;2005;HM;39;11;6;4;42;29
Vasco;2005;AW;15;3;6;12;33;57
Vasco;2005;OP;24;6;6;9;38;49
Vasco;2005;ED;30;8;6;7;37;37
Athlético-PR;2006;LG;48;13;9;16;61;62
Athlético-PR;2006;HM;30;9;3;7;33;29
Athlético-PR;2006;AW;18;4;6;9;28;33
Athlético-PR;2006;OP;22;6;4;9;25;24
Athlético-PR;2006;ED;26;7;5;7;36;38
Botafogo;2006;LG;51;13;12;13;52;50
Botafogo;2006;HM;34;10;4;5;35;26
Botafogo;2006;AW;17;3;8;8;17;24
Botafogo;2006;OP;21;4;9;6;21;23
Botafogo;2006;ED;30;9;3;7;31;27
Corinthians;2006;LG;53;15;8;15;41;46
Corinthians;2006;HM;30;9;3;7;22;23
Corinthians;2006;AW;23;6;5;8;19;23
Corinthians;2006;OP;20;6;2;11;20;28
Corinthians;2006;ED;33;9;6;4;21;18
Cruzeiro;2006;LG;53;14;11;13;52;45
Cruzeiro;2006;HM;38;10;8;1;38;20
Cruzeiro;2006;AW;15;4;3;12;14;25
Cruzeiro;2006;OP;27;7;6;6;29;21
Cruzeiro;2006;ED;26;7;5;7;23;24
Figueirense;2006;LG;57;15;12;11;52;44
Figueirense;2006;HM;34;9;7;3;25;15
Figueirense;2006;AW;23;6;5;8;27;29
Figueirense;2006;OP;27;7;6;6;29;25
Figueirense;2006;ED;30;8;6;5;23;19
Flamengo;2006;LG;52;15;7;16;44;48
Flamengo;2006;HM;35;10;5;4;27;17
Flamengo;2006;AW;17;5;2;12;17;31
Flamengo;2006;OP;23;6;5;8;17;21
Flamengo;2006;ED;29;9;2;8;27;27
Fluminense;2006;LG;45;11;12;15;48;58
Fluminense;2006;HM;27;7;6;6;24;23
Fluminense;2006;AW;18;4;6;9;24;35
Fluminense;2006;OP;29;8;5;6;30;30
Fluminense;2006;ED;16;3;7;9;18;28
Fortaleza;2006;LG;38;8;14;16;39;62
Fortaleza;2006;HM;20;5;5;9;25;37
Fortaleza;2006;AW;18;3;9;7;14;25
Fortaleza;2006;OP;20;4;8;7;20;28
Fortaleza;2006;ED;18;4;6;9;19;34
Goiás;2006;LG;55;15;10;13;63;49
Goiás;2006;HM;32;9;5;5;37;25
Goiás;2006;AW;23;6;5;8;26;24
Goiás;2006;OP;21;5;6;8;22;26
Goiás;2006;ED;34;10;4;5;41;23
Grêmio;2006;LG;67;20;7;11;64;45
Grêmio;2006;HM;42;13;3;3;40;16
Grêmio;2006;AW;25;7;4;8;24;29
Grêmio;2006;OP;29;8;5;6;30;26
Grêmio;2006;ED;38;12;2;5;34;19
Internacional;2006;LG;69;20;9;9;52;36
Internacional;2006;HM;36;10;6;3;26;16
Internacional;2006;AW;33;10;3;6;26;20
Internacional;2006;OP;34;9;7;3;27;21
Internacional;2006;ED;35;11;2;6;25;15
Juventude;2006;LG;47;13;8;17;44;54
Juventude;2006;HM;39;11;6;2;28;15
Juventude;2006;AW;8;2;2;15;16;39
Juventude;2006;OP;23;6;5;8;20;22
Juventude;2006;ED;24;7;3;9;24;32
Palmeiras;2006;LG;44;12;8;18;58;70
Palmeiras;2006;HM;34;10;4;5;38;27
Palmeiras;2006;AW;10;2;4;13;20;43
Palmeiras;2006;OP;25;7;4;8;29;32
Palmeiras;2006;ED;19;5;4;10;29;38
Paraná;2006;LG;60;18;6;14;56;49
Paraná;2006;HM;40;12;4;3;27;13
Paraná;2006;AW;20;6;2;11;29;36
Paraná;2006;OP;31;9;4;6;35;25
Paraná;2006;ED;29;9;2;8;21;24
Ponte Preta;2006;LG;39;10;9;19;45;65
Ponte Preta;2006;HM;27;8;3;8;31;28
Ponte Preta;2006;AW;12;2;6;11;14;37
Ponte Preta;2006;OP;22;6;4;9;27;39
Ponte Preta;2006;ED;17;4;5;10;18;26
Santa Cruz;2006;LG;28;7;7;24;41;76
Santa Cruz;2006;HM;22;6;4;9;23;31
Santa Cruz;2006;AW;6;1;3;15;18;45
Santa Cruz;2006;OP;18;4;6;9;23;33
Santa Cruz;2006;ED;10;3;1;15;18;43
Santos;2006;LG;64;18;10;10;58;36
Santos;2006;HM;47;15;2;2;35;12
Santos;2006;AW;17;3;8;8;23;24
Santos;2006;OP;32;9;5;5;27;17
Santos;2006;ED;32;9;5;5;31;19
São Caetano;2006;LG;36;9;9;20;37;53
São Caetano;2006;HM;24;6;6;7;20;20
São Caetano;2006;AW;12;3;3;13;17;33
São Caetano;2006;OP;25;6;7;6;23;23
São Caetano;2006;ED;11;3;2;14;14;30
São Paulo;2006;LG;78;22;12;4;66;32
São Paulo;2006;HM;46;14;4;1;40;14
São Paulo;2006;AW;32;8;8;3;26;18
São Paulo;2006;OP;38;11;5;3;32;21
São Paulo;2006;ED;40;11;7;1;34;11
Vasco;2006;LG;59;15;14;9;57;50
Vasco;2006;HM;33;8;9;2;30;19
Vasco;2006;AW;26;7;5;7;27;31
Vasco;2006;OP;29;8;5;6;26;27
Vasco;2006;ED;30;7;9;3;31;23
América-RN;2007;LG;17;4;5;29;24;80
América-RN;2007;HM;9;2;3;14;12;35
América-RN;2007;AW;8;2;2;15;12;45
América-RN;2007;OP;10;3;1;15;16;42
América-RN;2007;ED;7;1;4;14;8;38
Athlético-PR;2007;LG;54;14;12;12;51;50
