Club;Year;Mode;P;V;E;D;GF;GS
Coritiba;2016;HM;34;9;7;3;29;17
Coritiba;2016;AW;12;2;6;11;12;25
Coritiba;2016;OP;21;5;6;8;21;26
Coritiba;2016;ED;25;6;7;6;20;16
Cruzeiro;2016;LG;51;14;9;15;48;49
Cruzeiro;2016;HM;28;7;7;5;29;26
Cruzeiro;2016;AW;23;7;2;10;19;23
Cruzeiro;2016;OP;19;5;4;10;24;32
Cruzeiro;2016;ED;32;9;5;5;24;17
Figueirense;2016;LG;37;8;13;17;30;50
Figueirense;2016;HM;30;7;9;3;21;16
Figueirense;2016;AW;7;1;4;14;9;34
Figueirense;2016;OP;21;4;9;6;18;23
Figueirense;2016;ED;16;4;4;11;12;27
Flamengo;2016;LG;71;20;11;7;52;35
Flamengo;2016;HM;41;12;5;2;31;16
Flamengo;2016;AW;30;8;6;5;21;19
Flamengo;2016;OP;34;10;4;5;23;19
Flamengo;2016;ED;37;10;7;2;29;16
Fluminense;2016;LG;50;13;11;14;45;45
Fluminense;2016;HM;30;8;6;5;30;24
Fluminense;2016;AW;20;5;5;9;15;21
Fluminense;2016;OP;28;7;7;5;23;20
Fluminense;2016;ED;22;6;4;9;22;25
Grêmio;2016;LG;53;14;11;13;41;44
Grêmio;2016;HM;37;11;4;4;22;11
Grêmio;2016;AW;16;3;7;9;19;33
Grêmio;2016;OP;32;9;5;5;27;21
Grêmio;2016;ED;21;5;6;8;14;23
Internacional;2016;LG;43;11;10;17;35;41
Internacional;2016;HM;32;9;5;5;21;15
Internacional;2016;AW;11;2;5;12;14;26
Internacional;2016;OP;22;6;4;9;21;23
Internacional;2016;ED;21;5;6;8;14;18
Palmeiras;2016;LG;80;24;8;6;62;32
Palmeiras;2016;HM;46;14;4;1;35;13
Palmeiras;2016;AW;34;10;4;5;27;19
Palmeiras;2016;OP;36;11;3;5;35;20
Palmeiras;2016;ED;44;13;5;1;27;12
Ponte Preta;2016;LG;53;15;8;15;48;52
Ponte Preta;2016;HM;41;13;2;4;33;18
Ponte Preta;2016;AW;12;2;6;11;15;34
Ponte Preta;2016;OP;27;8;3;8;23;31
Ponte Preta;2016;ED;26;7;5;7;25;21
Santa Cruz;2016;LG;31;8;7;23;45;69
Santa Cruz;2016;HM;23;7;2;10;27;27
Santa Cruz;2016;AW;8;1;5;13;18;42
Santa Cruz;2016;OP;18;5;3;11;20;26
Santa Cruz;2016;ED;13;3;4;12;25;43
Santos;2016;LG;71;22;5;11;59;35
Santos;2016;HM;47;15;2;2;36;11
Santos;2016;AW;24;7;3;9;23;24
Santos;2016;OP;33;10;3;6;32;17
Santos;2016;ED;38;12;2;5;27;18
Sport;2016;LG;47;13;8;17;49;55
Sport;2016;HM;35;10;5;4;33;22
Sport;2016;AW;12;3;3;13;16;33
Sport;2016;OP;23;6;5;8;29;29
Sport;2016;ED;24;7;3;9;20;26
São Paulo;2016;LG;52;14;10;14;44;36
São Paulo;2016;HM;32;9;5;5;29;13
São Paulo;2016;AW;20;5;5;9;15;23
São Paulo;2016;OP;26;7;5;7;21;20
São Paulo;2016;ED;26;7;5;7;23;16
Vitória;2016;LG;45;12;9;17;51;53
Vitória;2016;HM;28;8;4;7;30;24
Vitória;2016;AW;17;4;5;10;21;29
Vitória;2016;OP;22;5;7;7;24;28
Vitória;2016;ED;23;7;2;10;27;25
Athlético-PR;2017;LG;51;14;9;15;45;43
Athlético-PR;2017;HM;29;8;5;6;29;20
Athlético-PR;2017;AW;22;6;4;9;16;23
Athlético-PR;2017;OP;26;7;5;7;21;22
Athlético-PR;2017;ED;25;7;4;8;24;21
Atlético-GO;2017;LG;36;9;9;20;38;56
Atlético-GO;2017;HM;17;4;5;10;18;23
Atlético-GO;2017;AW;19;5;4;10;20;33
Atlético-GO;2017;OP;12;3;3;13;16;34
Atlético-GO;2017;ED;24;6;6;7;22;22
Atlético-MG;2017;LG;54;14;12;12;52;49
Atlético-MG;2017;HM;25;7;4;8;27;27
Atlético-MG;2017;AW;29;7;8;4;25;22
Atlético-MG;2017;OP;23;6;5;8;19;23
Atlético-MG;2017;ED;31;8;7;4;33;26
Avaí;2017;LG;43;10;13;15;29;48
Avaí;2017;HM;24;5;9;5;15;20
Avaí;2017;AW;19;5;4;10;14;28
Avaí;2017;OP;18;4;6;9;10;25
Avaí;2017;ED;25;6;7;6;19;23
Bahia;2017;LG;50;13;11;14;50;48
Bahia;2017;HM;34;10;4;5;34;21
Bahia;2017;AW;16;3;7;9;16;27
Bahia;2017;OP;23;6;5;8;24;24
Bahia;2017;ED;27;7;6;6;26;24
Botafogo;2017;LG;53;14;11;13;45;42
Botafogo;2017;HM;30;9;3;7;30;25
Botafogo;2017;AW;23;5;8;6;15;17
Botafogo;2017;OP;25;6;7;6;21;20
Botafogo;2017;ED;28;8;4;7;24;22
Chapecoense;2017;LG;54;15;9;14;47;49
Chapecoense;2017;HM;30;9;3;7;24;21
Chapecoense;2017;AW;24;6;6;7;23;28
Chapecoense;2017;OP;22;6;4;9;24;33
Chapecoense;2017;ED;32;9;5;5;23;16
Corinthians;2017;LG;72;21;9;8;50;30
Corinthians;2017;HM;41;12;5;2;32;15
Corinthians;2017;AW;31;9;4;6;18;15
Corinthians;2017;OP;47;14;5;0;32;9
Corinthians;2017;ED;25;7;4;8;18;21
Coritiba;2017;LG;43;11;10;17;42;51
Coritiba;2017;HM;26;7;5;7;21;18
Coritiba;2017;AW;17;4;5;10;21;33
Coritiba;2017;OP;25;7;4;8;21;25
Coritiba;2017;ED;18;4;6;9;21;26
Cruzeiro;2017;LG;57;15;12;11;47;39
Cruzeiro;2017;HM;34;9;7;3;26;17
Cruzeiro;2017;AW;23;6;5;8;21;22
Cruzeiro;2017;OP;27;7;6;6;21;16
Cruzeiro;2017;ED;30;8;6;5;26;23
Flamengo;2017;LG;56;15;11;12;49;38
Flamengo;2017;HM;36;10;6;3;32;13
Flamengo;2017;AW;20;5;5;9;17;25
Flamengo;2017;OP;29;7;8;4;27;19
Flamengo;2017;ED;27;8;3;8;22;19
Fluminense;2017;LG;47;11;14;13;50;53
Fluminense;2017;HM;27;7;6;6;27;24
Fluminense;2017;AW;20;4;8;7;23;29
Fluminense;2017;OP;26;6;8;5;29;27
Fluminense;2017;ED;21;5;6;8;21;26
Grêmio;2017;LG;62;18;8;12;55;36
Grêmio;2017;HM;34;10;4;5;26;13
Grêmio;2017;AW;28;8;4;7;29;23
Grêmio;2017;OP;39;12;3;4;35;18
Grêmio;2017;ED;23;6;5;8;20;18
Palmeiras;2017;LG;63;19;6;13;61;45
Palmeiras;2017;HM;39;12;3;4;35;16
Palmeiras;2017;AW;24;7;3;9;26;29
Palmeiras;2017;OP;32;10;2;7;28;20
Palmeiras;2017;ED;31;9;4;6;33;25
Ponte Preta;2017;LG;39;10;9;19;37;52
Ponte Preta;2017;HM;30;9;3;7;26;21
Ponte Preta;2017;AW;9;1;6;12;11;31
Ponte Preta;2017;OP;23;6;5;8;20;24
Ponte Preta;2017;ED;16;4;4;11;17;28
Santos;2017;LG;63;17;12;9;42;32
Santos;2017;HM;40;12;4;3;25;12
Santos;2017;AW;23;5;8;6;17;20
Santos;2017;OP;35;10;5;4;22;13
Santos;2017;ED;28;7;7;5;20;19
Sport;2017;LG;45;12;9;17;46;58
Sport;2017;HM;28;7;7;5;27;21
Sport;2017;AW;17;5;2;12;19;37
Sport;2017;OP;28;8;4;7;30;26
Sport;2017;ED;17;4;5;10;16;32
São Paulo;2017;LG;50;13;11;14;48;49
São Paulo;2017;HM;35;9;8;2;29;18
São Paulo;2017;AW;15;4;3;12;19;31
São Paulo;2017;OP;19;5;4;10;22;26
São Paulo;2017;ED;31;8;7;4;26;23
Vasco;2017;LG;56;15;11;12;40;47
Vasco;2017;HM;31;8;7;4;21;21
Vasco;2017;AW;25;7;4;8;19;26
Vasco;2017;OP;24;7;3;9;21;30
Vasco;2017;ED;32;8;8;3;19;17
Vitória;2017;LG;43;11;10;17;50;58
Vitória;2017;HM;14;3;5;11;22;31
Vitória;2017;AW;29;8;5;6;28;27
Vitória;2017;OP;19;5;4;10;21;30
Vitória;2017;ED;24;6;6;7;29;28
América-MG;2018;LG;40;10;10;18;30;47
América-MG;2018;HM;31;8;7;4;22;17
América-MG;2018;AW;9;2;3;14;8;30
América-MG;2018;OP;22;6;4;9;18;24
América-MG;2018;ED;18;4;6;9;12;23
Athlético-PR;2018;LG;57;16;9;13;54;37
Athlético-PR;2018;HM;44;14;2;3;44;14
Athlético-PR;2018;AW;13;2;7;10;10;23
Athlético-PR;2018;OP;21;5;6;8;21;19
Athlético-PR;2018;ED;36;11;3;5;33;18
Atlético-MG;2018;LG;59;17;8;13;56;43
Atlético-MG;2018;HM;40;12;4;3;31;15
Atlético-MG;2018;AW;19;5;4;10;25;28
Atlético-MG;2018;OP;33;10;3;6;36;26
Atlético-MG;2018;ED;26;7;5;7;20;17
Bahia;2018;LG;48;12;12;14;39;41
Bahia;2018;HM;37;10;7;2;27;13
Bahia;2018;AW;11;2;5;12;12;28
Bahia;2018;OP;25;6;7;6;22;23
Bahia;2018;ED;23;6;5;8;17;18
Botafogo;2018;LG;51;13;12;13;38;46
Botafogo;2018;HM;37;10;7;2;22;14
Botafogo;2018;AW;14;3;5;11;16;32
Botafogo;2018;OP;22;5;7;7;18;25
Botafogo;2018;ED;29;8;5;6;20;21
Ceará;2018;LG;44;10;14;14;32;38
Ceará;2018;HM;29;7;8;4;18;16
Ceará;2018;AW;15;3;6;10;14;22
Ceará;2018;OP;16;3;7;9;11;22
Ceará;2018;ED;28;7;7;5;21;16
Chapecoense;2018;LG;44;11;11;16;34;50
Chapecoense;2018;HM;35;10;5;4;24;16
Chapecoense;2018;AW;9;1;6;12;10;34
Chapecoense;2018;OP;21;4;9;6;19;26
Chapecoense;2018;ED;23;7;2;10;15;24
Corinthians;2018;LG;44;11;11;16;34;35
Corinthians;2018;HM;35;9;8;2;19;12
Corinthians;2018;AW;9;2;3;14;15;23
Corinthians;2018;OP;26;7;5;7;22;16
Corinthians;2018;ED;18;4;6;9;12;19
Cruzeiro;2018;LG;53;14;11;13;34;34
Cruzeiro;2018;HM;37;11;4;4;25;14
Cruzeiro;2018;AW;16;3;7;9;9;20
Cruzeiro;2018;OP;26;7;5;7;15;16
Cruzeiro;2018;ED;27;7;6;6;19;18
Flamengo;2018;LG;72;21;9;8;59;29
Flamengo;2018;HM;44;14;2;3;30;8
Flamengo;2018;AW;28;7;7;5;29;21
Flamengo;2018;OP;37;11;4;4;29;15
Flamengo;2018;ED;35;10;5;4;30;14
Fluminense;2018;LG;45;12;9;17;32;46
Fluminense;2018;HM;32;9;5;5;17;11
Fluminense;2018;AW;13;3;4;12;15;35
Fluminense;2018;OP;23;6;5;8;19;24
Fluminense;2018;ED;22;6;4;9;13;22
Grêmio;2018;LG;66;18;12;8;48;27
Grêmio;2018;HM;41;12;5;2;36;14
Grêmio;2018;AW;25;6;7;6;12;13
Grêmio;2018;OP;36;10;6;3;23;8
Grêmio;2018;ED;30;8;6;5;25;19
Internacional;2018;LG;69;19;12;7;51;29
Internacional;2018;HM;46;14;4;1;32;10
Internacional;2018;AW;23;5;8;6;19;19
Internacional;2018;OP;38;11;5;3;27;12
Internacional;2018;ED;31;8;7;4;24;17
Palmeiras;2018;LG;80;23;11;4;64;26
Palmeiras;2018;HM;50;16;2;1;42;13
Palmeiras;2018;AW;30;7;9;3;22;13
Palmeiras;2018;OP;33;9;6;4;29;15
Palmeiras;2018;ED;47;14;5;0;35;11
Paraná;2018;LG;23;4;11;23;18;57
Paraná;2018;HM;19;3;10;6;13;23
Paraná;2018;AW;4;1;1;17;5;34
Paraná;2018;OP;14;3;5;11;9;25
Paraná;2018;ED;9;1;6;12;9;32
Santos;2018;LG;50;13;11;14;46;40
Santos;2018;HM;33;9;6;4;28;14
Santos;2018;AW;17;4;5;10;18;26
Santos;2018;OP;21;5;6;8;21;23
Santos;2018;ED;29;8;5;6;25;17
Sport;2018;LG;42;11;9;18;35;57
Sport;2018;HM;30;8;6;5;19;17
Sport;2018;AW;12;3;3;13;16;40
Sport;2018;OP;20;5;5;9;19;30
Sport;2018;ED;22;6;4;9;16;27
São Paulo;2018;LG;63;16;15;7;46;34
São Paulo;2018;HM;38;10;8;1;25;13
São Paulo;2018;AW;25;6;7;6;21;21
São Paulo;2018;OP;41;12;5;2;32;16
São Paulo;2018;ED;22;4;10;5;14;18
Vasco;2018;LG;43;10;13;15;41;48
Vasco;2018;HM;32;9;5;5;29;24
Vasco;2018;AW;11;1;8;10;12;24
Vasco;2018;OP;21;5;6;8;23;29
Vasco;2018;ED;22;5;7;7;18;19
Vitória;2018;LG;37;9;10;19;36;63
Vitória;2018;HM;26;7;5;7;22;24
Vitória;2018;AW;11;2;5;12;14;39
Vitória;2018;OP;19;5;4;10;20;39
Vitória;2018;ED;18;4;6;9;16;24
Athlético-PR;2019;LG;64;18;10;10;51;32
Athlético-PR;2019;HM;39;12;3;4;26;11
Athlético-PR;2019;AW;25;6;7;6;25;21
Athlético-PR;2019;OP;26;8;2;9;25;19
Athlético-PR;2019;ED;38;10;8;1;26;13
Atlético-MG;2019;LG;48;13;9;16;45;49
Atlético-MG;2019;HM;32;10;2;7;28;23
Atlético-MG;2019;AW;16;3;7;9;17;26
Atlético-MG;2019;OP;27;8;3;8;24;23
Atlético-MG;2019;ED;21;5;6;8;21;26
Avaí;2019;LG;20;3;11;24;18;62
Avaí;2019;HM;12;1;9;9;10;24
Avaí;2019;AW;8;2;2;15;8;38
Avaí;2019;OP;13;2;7;10;10;25
Avaí;2019;ED;7;1;4;14;8;37
Bahia;2019;LG;49;12;13;13;44;43
Bahia;2019;HM;29;7;8;4;24;18
Bahia;2019;AW;20;5;5;9;20;25
Bahia;2019;OP;31;8;7;4;22;16
Bahia;2019;ED;18;4;6;9;22;27
Botafogo;2019;LG;43;13;4;21;31;45
Botafogo;2019;HM;29;9;2;8;19;17
Botafogo;2019;AW;14;4;2;13;12;28
Botafogo;2019;OP;27;8;3;8;18;19
Botafogo;2019;ED;16;5;1;13;13;26
CSA;2019;LG;32;8;8;22;24;58
CSA;2019;HM;23;6;5;8;17;24
CSA;2019;AW;9;2;3;14;7;34
CSA;2019;OP;16;3;7;9;8;25
CSA;2019;ED;16;5;1;13;16;33
Ceará;2019;LG;39;10;9;19;36;41
Ceará;2019;HM;30;8;6;5;23;14
Ceará;2019;AW;9;2;3;14;13;27
Ceará;2019;OP;22;6;4;9;21;20
Ceará;2019;ED;17;4;5;10;15;21
Chapecoense;2019;LG;32;7;11;20;31;52
Chapecoense;2019;HM;17;4;5;10;16;22
Chapecoense;2019;AW;15;3;6;10;15;30
Chapecoense;2019;OP;14;3;5;11;17;32
Chapecoense;2019;ED;18;4;6;9;14;20
Corinthians;2019;LG;56;14;14;10;42;34
Corinthians;2019;HM;37;10;7;2;25;13
Corinthians;2019;AW;19;4;7;8;17;21
Corinthians;2019;OP;32;8;8;3;21;12
Corinthians;2019;ED;24;6;6;7;21;22
Cruzeiro;2019;LG;36;7;15;16;27;46
Cruzeiro;2019;HM;23;5;8;6;13;17
Cruzeiro;2019;AW;13;2;7;10;14;29
Cruzeiro;2019;OP;18;4;6;9;16;28
Cruzeiro;2019;ED;18;3;9;7;11;18
Flamengo;2019;LG;90;28;6;4;86;37
Flamengo;2019;HM;53;17;2;0;56;18
Flamengo;2019;AW;37;11;4;4;30;19
Flamengo;2019;OP;42;13;3;3;42;18
Flamengo;2019;ED;48;15;3;1;44;19
Fluminense;2019;LG;46;12;10;16;38;46
Fluminense;2019;HM;25;6;7;6;18;15
Fluminense;2019;AW;21;6;3;10;20;31
Fluminense;2019;OP;18;5;3;11;21;29
Fluminense;2019;ED;28;7;7;5;17;17
Fortaleza;2019;LG;53;15;8;15;50;49
Fortaleza;2019;HM;35;11;2;6;26;17
Fortaleza;2019;AW;18;4;6;9;24;32
Fortaleza;2019;OP;22;6;4;9;22;26
Fortaleza;2019;ED;31;9;4;6;28;23
Goiás;2019;LG;52;15;7;16;46;64
Goiás;2019;HM;36;11;3;5;31;23
Goiás;2019;AW;16;4;4;11;15;41
Goiás;2019;OP;21;6;3;10;17;32
Goiás;2019;ED;31;9;4;6;29;32
Grêmio;2019;LG;65;19;8;11;64;39
Grêmio;2019;HM;39;12;3;4;38;18
Grêmio;2019;AW;26;7;5;7;26;21
Grêmio;2019;OP;28;7;7;5;27;22
Grêmio;2019;ED;37;12;1;6;37;17
Internacional;2019;LG;57;16;9;13;44;39
Internacional;2019;HM;39;11;6;2;28;15
Internacional;2019;AW;18;5;3;11;16;24
Internacional;2019;OP;33;10;3;6;25;17
Internacional;2019;ED;24;6;6;7;19;22
Palmeiras;2019;LG;74;21;11;6;61;32
Palmeiras;2019;HM;43;13;4;2;40;13
Palmeiras;2019;AW;31;8;7;4;21;19
Palmeiras;2019;OP;39;11;6;2;30;14
Palmeiras;2019;ED;35;10;5;4;31;18
Santos;2019;LG;74;22;8;8;60;33
Santos;2019;HM;46;14;4;1;44;15
Santos;2019;AW;28;8;4;7;16;18
Santos;2019;OP;37;11;4;4;30;19
Santos;2019;ED;37;11;4;4;30;14
São Paulo;2019;LG;63;17;12;9;39;30
São Paulo;2019;HM;36;10;6;3;23;12
São Paulo;2019;AW;27;7;6;6;16;18
São Paulo;2019;OP;32;8;8;3;21;13
São Paulo;2019;ED;31;9;4;6;18;17
Vasco;2019;LG;49;12;13;13;39;45
Vasco;2019;HM;27;7;6;6;20;22
Vasco;2019;AW;22;5;7;7;19;23
Vasco;2019;OP;23;6;5;8;18;26
Vasco;2019;ED;26;6;8;5;21;19
Athlético-PR;2020;LG;53;15;8;15;38;36
Athlético-PR;2020;HM;32;9;5;5;20;13
Athlético-PR;2020;AW;21;6;3;10;18;23
Athlético-PR;2020;OP;19;5;4;10;15;20
Athlético-PR;2020;ED;34;10;4;5;23;16
Atlético-GO;2020;LG;50;12;14;12;40;45
Atlético-GO;2020;HM;27;6;9;4;24;21
Atlético-GO;2020;AW;23;6;5;8;16;24
Atlético-GO;2020;OP;22;5;7;7;17;25
Atlético-GO;2020;ED;28;7;7;5;23;20
Atlético-MG;2020;LG;68;20;8;10;64;45
Atlético-MG;2020;HM;46;14;4;1;41;13
Atlético-MG;2020;AW;22;6;4;9;23;32
Atlético-MG;2020;OP;32;10;2;7;31;25
Atlético-MG;2020;ED;36;10;6;3;33;20
Bahia;2020;LG;44;12;8;18;48;59
Bahia;2020;HM;29;9;2;8;27;26
Bahia;2020;AW;15;3;6;10;21;33
Bahia;2020;OP;22;6;4;9;25;29
Bahia;2020;ED;22;6;4;9;23;30
Botafogo;2020;LG;27;5;12;21;32;62
Botafogo;2020;HM;14;3;5;11;16;30
Botafogo;2020;AW;13;2;7;10;16;32
Botafogo;2020;OP;20;3;11;5;19;26
Botafogo;2020;ED;7;2;1;16;13;36
Bragantino;2020;LG;53;13;14;11;50;40
Bragantino;2020;HM;35;10;5;4;34;19
Bragantino;2020;AW;18;3;9;7;16;21
Bragantino;2020;OP;19;4;7;8;22;26
Bragantino;2020;ED;34;9;7;3;28;14
Ceará;2020;LG;52;14;10;14;54;51
Ceará;2020;HM;26;7;5;7;22;25
Ceará;2020;AW;26;7;5;7;32;26
Ceará;2020;OP;24;6;6;7;24;27
Ceará;2020;ED;28;8;4;7;30;24
Corinthians;2020;LG;51;13;12;13;45;45
Corinthians;2020;HM;31;8;7;4;29;23
Corinthians;2020;AW;20;5;5;9;16;22
Corinthians;2020;OP;24;6;6;7;22;26
Corinthians;2020;ED;27;7;6;6;23;19
Coritiba;2020;LG;31;7;10;21;31;54
Coritiba;2020;HM;18;4;6;9;13;19
Coritiba;2020;AW;13;3;4;12;18;35
Coritiba;2020;OP;19;5;4;10;16;24
Coritiba;2020;ED;12;2;6;11;15;30
Flamengo;2020;LG;71;21;8;9;68;48
Flamengo;2020;HM;37;11;4;4;35;23
Flamengo;2020;AW;34;10;4;5;33;25
Flamengo;2020;OP;35;10;5;4;33;25
Flamengo;2020;ED;36;11;3;5;35;23
Fluminense;2020;LG;64;18;10;10;55;42
Fluminense;2020;HM;38;11;5;3;31;14
Fluminense;2020;AW;26;7;5;7;24;28
Fluminense;2020;OP;32;9;5;5;29;21
Fluminense;2020;ED;32;9;5;5;26;21
Fortaleza;2020;LG;41;10;11;17;34;44
Fortaleza;2020;HM;30;8;6;5;20;15
Fortaleza;2020;AW;11;2;5;12;14;29
Fortaleza;2020;OP;25;6;7;6;17;14
Fortaleza;2020;ED;16;4;4;11;17;30
Goiás;2020;LG;37;9;10;19;41;63
Goiás;2020;HM;23;6;5;8;19;28
Goiás;2020;AW;14;3;5;11;22;35
Goiás;2020;OP;12;2;6;11;21;36
Goiás;2020;ED;25;7;4;8;20;27
Grêmio;2020;LG;59;14;17;7;53;40
Grêmio;2020;HM;36;10;6;3;34;23
Grêmio;2020;AW;23;4;11;4;19;17
Grêmio;2020;OP;30;7;9;3;23;18
Grêmio;2020;ED;29;7;8;4;30;22
Internacional;2020;LG;70;20;10;8;61;35
Internacional;2020;HM;41;12;5;2;34;17
Internacional;2020;AW;29;8;5;6;27;18
Internacional;2020;OP;35;10;5;4;30;16
Internacional;2020;ED;35;10;5;4;31;19
Palmeiras;2020;LG;58;15;13;10;51;37
Palmeiras;2020;HM;35;9;8;2;33;16
Palmeiras;2020;AW;23;6;5;8;18;21
Palmeiras;2020;OP;29;7;8;4;26;21
Palmeiras;2020;ED;29;8;5;6;25;16
Santos;2020;LG;54;14;12;12;52;51
Santos;2020;HM;34;9;7;3;35;23
Santos;2020;AW;20;5;5;9;17;28
Santos;2020;OP;30;8;6;5;27;23
Santos;2020;ED;24;6;6;7;25;28
Sport;2020;LG;42;12;6;20;31;50
Sport;2020;HM;26;8;2;9;19;23
Sport;2020;AW;16;4;4;11;12;27
Sport;2020;OP;24;7;3;9;19;26
Sport;2020;ED;18;5;3;11;12;24
São Paulo;2020;LG;66;18;12;8;59;41
São Paulo;2020;HM;37;10;7;2;29;16
São Paulo;2020;AW;29;8;5;6;30;25
São Paulo;2020;OP;37;10;7;2;32;15
São Paulo;2020;ED;29;8;5;6;27;26
Vasco;2020;LG;41;10;11;17;37;56
Vasco;2020;HM;26;7;5;7;21;21
Vasco;2020;AW;15;3;6;10;16;35
Vasco;2020;OP;21;5;6;8;21;26
Vasco;2020;ED;20;5;5;9;16;30
